entity_id,source_id,notes,created_by,updated_by
2e2285ac-04c3-4c94-bb58-648ae1418dc7,4,Channel geometry and attributes for C+AF8-ABN027,1,
2e2285ac-04c3-4c94-bb58-648ae1418dc7,3,Flow variable definitions for channel C+AF8-ABN027,1,
88695950-2ccb-487a-990c-7a9c2b7a219f,4,Channel geometry and attributes for C+AF8-ABT002,1,
88695950-2ccb-487a-990c-7a9c2b7a219f,3,Flow variable definitions for channel C+AF8-ABT002,1,
075d1dc7-d5d9-48d1-bed0-aeb5146e018f,4,Channel geometry and attributes for C+AF8-ACP001,1,
075d1dc7-d5d9-48d1-bed0-aeb5146e018f,3,Flow variable definitions for channel C+AF8-ACP001,1,
e189dcd9-e058-4838-a660-e763791a3894,4,Channel geometry and attributes for C+AF8-ALD001,1,
e189dcd9-e058-4838-a660-e763791a3894,3,Flow variable definitions for channel C+AF8-ALD001,1,
904bfcb7-7909-4c74-8aaf-d6b00ca1e14f,4,Channel geometry and attributes for C+AF8-ALD002,1,
904bfcb7-7909-4c74-8aaf-d6b00ca1e14f,3,Flow variable definitions for channel C+AF8-ALD002,1,
1cc6b4c9-b4fc-4a7a-bca5-5f43672c884f,4,Channel geometry and attributes for C+AF8-ALD004,1,
1cc6b4c9-b4fc-4a7a-bca5-5f43672c884f,3,Flow variable definitions for channel C+AF8-ALD004,1,
f9212f14-bcd1-4ed7-afc9-8a6d35e50cf5,4,Channel geometry and attributes for C+AF8-ALDER,1,
f9212f14-bcd1-4ed7-afc9-8a6d35e50cf5,3,Flow variable definitions for channel C+AF8-ALDER,1,
6d140ca1-3fe9-441d-9c4e-78b040c5ec39,4,Channel geometry and attributes for C+AF8-ALMNR,1,
6d140ca1-3fe9-441d-9c4e-78b040c5ec39,3,Flow variable definitions for channel C+AF8-ALMNR,1,
343006d4-c658-41d2-bc76-2333d68cc19b,4,Channel geometry and attributes for C+AF8-ALOHA,1,
343006d4-c658-41d2-bc76-2333d68cc19b,3,Flow variable definitions for channel C+AF8-ALOHA,1,
562d9230-fd5e-4f7b-8e92-01881aaff86b,4,Channel geometry and attributes for C+AF8-ALPNE,1,
562d9230-fd5e-4f7b-8e92-01881aaff86b,3,Flow variable definitions for channel C+AF8-ALPNE,1,
c7ed7e24-bbeb-47ec-a4aa-189980536090,4,Channel geometry and attributes for C+AF8-AMADR,1,
c7ed7e24-bbeb-47ec-a4aa-189980536090,3,Flow variable definitions for channel C+AF8-AMADR,1,
4ad92e87-85c8-4b1a-8204-e8d6c8a1941d,4,Channel geometry and attributes for C+AF8-AMR004,1,
4ad92e87-85c8-4b1a-8204-e8d6c8a1941d,3,Flow variable definitions for channel C+AF8-AMR004,1,
99be6aba-90eb-44cf-93e3-38b8cc56d8b2,4,Channel geometry and attributes for C+AF8-AMR006,1,
99be6aba-90eb-44cf-93e3-38b8cc56d8b2,3,Flow variable definitions for channel C+AF8-AMR006,1,
5fb895ad-b2d9-420c-bf78-400bdbeace45,4,Channel geometry and attributes for C+AF8-AMR007,1,
5fb895ad-b2d9-420c-bf78-400bdbeace45,3,Flow variable definitions for channel C+AF8-AMR007,1,
5f5e277e-c9a8-4912-a356-cffe560a48f9,4,Channel geometry and attributes for C+AF8-AMR009,1,
5f5e277e-c9a8-4912-a356-cffe560a48f9,3,Flow variable definitions for channel C+AF8-AMR009,1,
